state,district,districthindi,season,seasonhindi,crop,crophindi,area,production
गुजरात (Gujarat),DOHAD,दाहोद,Whole Year ,पूरे साल ,Onion,प्याज,600,17300
गुजरात (Gujarat),अमरेली (AMRELI),अमरेली (अमरेली),Whole Year ,पूरे साल ,Garlic,लहसुन,1900,12700
गुजरात (Gujarat),PATAN,पटना,Kharif     ,खरीफ ,Castor seed,अरंडी बीज,29600,52400
गुजरात (Gujarat),SURAT,सूरत,Whole Year ,पूरे साल ,Guar seed,ग्वार सीड,2200,1300
गुजरात (Gujarat),DANG,डांग,Kharif     ,खरीफ ,Arhar/Tur,अरहर / तुरई,2100,2000
गुजरात (Gujarat),अहमदाबाद (AHMADABAD),अहमदाबाद (अहमदाबाद),Kharif     ,खरीफ ,Small millets,छोटे बाजरा,400,200
गुजरात (Gujarat),BHAVNAGAR,भावनगर,Kharif     ,खरीफ ,Bajra,बाजरे,46000,105000
गुजरात (Gujarat),VADODARA,वडोदरा,Kharif     ,खरीफ ,Urad,उड़द,13100,10700
गुजरात (Gujarat),PATAN,पटना,Kharif     ,खरीफ ,Moth,कीट,4000,1800
गुजरात (Gujarat),ANAND,आनन्द,Kharif     ,खरीफ ,Tobacco,तंबाकू,15600,27400
गुजरात (Gujarat),NARMADA,नर्मदा,Kharif     ,खरीफ ,Maize,मक्का,9800,22900
गुजरात (Gujarat),अमरेली (AMRELI),अमरेली (अमरेली),Rabi       ,रबी ,Rapeseed &Mustard,रेपसीड और सरसों,400,500
गुजरात (Gujarat),अमरेली (AMRELI),अमरेली (अमरेली),Rabi       ,रबी ,Wheat,गेहूं,5400,15400
गुजरात (Gujarat),JUNAGADH,जूनागढ़,Summer     ,ग्रीष्म ऋतु ,Groundnut,मूंगफली,1300,2800
गुजरात (Gujarat),SABAR KANTHA,सबर कंथा,Whole Year ,पूरे साल ,Guar seed,ग्वार सीड,5000,2900
गुजरात (Gujarat),SURAT,सूरत,Summer     ,ग्रीष्म ऋतु ,Rice,चावल,2900,8900
गुजरात (Gujarat),BANAS KANTHA,बनास कंथा,Kharif     ,खरीफ ,Moong(Green Gram),मूंग (हरा चना),32300,5000
गुजरात (Gujarat),KHEDA,खेड़ा,Summer     ,ग्रीष्म ऋतु ,Maize,मक्का,3900,8100
गुजरात (Gujarat),VADODARA,वडोदरा,Summer     ,ग्रीष्म ऋतु ,Bajra,बाजरे,4700,19400
हरयाणा (Haryana),अंबाला (AMBALA),अंबाला (अंबाला),Whole Year ,पूरे साल ,Potato,आलू,2300,62400
हरयाणा (Haryana),YAMUNANAGAR,यमुनानगरी,Kharif     ,खरीफ ,Maize,मक्का,1506,5000
हरयाणा (Haryana),YAMUNANAGAR,यमुनानगरी,Rabi       ,रबी ,Gram,ग्राम,210,0
हरयाणा (Haryana),YAMUNANAGAR,यमुनानगरी,Rabi       ,रबी ,Gram,ग्राम,215,0
हरयाणा (Haryana),SIRSA,सिरसा,Rabi       ,रबी ,Barley,जौ,7274,27000
हरयाणा (Haryana),REWARI,रेवाड़ी,Kharif     ,खरीफ ,Moth,कीट,1,0
हरयाणा (Haryana),SONIPAT,सोनीपत,Whole Year ,पूरे साल ,Onion,प्याज,52,1000
हरयाणा (Haryana),ROHTAK,रोहतक,Whole Year ,पूरे साल ,Sugarcane,गन्ना,7145,384000
हरयाणा (Haryana),YAMUNANAGAR,यमुनानगरी,Kharif     ,खरीफ ,Sesamum,तिल,53,
हरयाणा (Haryana),KURUKSHETRA,कुरुक्षेत्र:,Rabi       ,रबी ,Masoor,मसूर,333,500
हरयाणा (Haryana),PANIPAT,पानीपत,Whole Year ,पूरे साल ,Sweet potato,शकरकंद,16,300
हरयाणा (Haryana),GURGAON,गुडगाँव,Rabi       ,रबी ,Barley,जौ,2363,7000
हरयाणा (Haryana),ROHTAK,रोहतक,Rabi       ,रबी ,Peas & beans (Pulses),मटर और बीन्स (दालें),7,0
हरयाणा (Haryana),GURGAON,गुडगाँव,Whole Year ,पूरे साल ,Onion,प्याज,1219,14600
हरयाणा (Haryana),YAMUNANAGAR,यमुनानगरी,Whole Year ,पूरे साल ,Potato,आलू,1051,22400
हरयाणा (Haryana),PANCHKULA,पंचकुला,Whole Year ,पूरे साल ,Sugarcane,गन्ना,355,
हरयाणा (Haryana),PANCHKULA,पंचकुला,Kharif     ,खरीफ ,Sesamum,तिल,66,0
हरयाणा (Haryana),PANCHKULA,पंचकुला,Kharif     ,खरीफ ,Arhar/Tur,अरहर / तुरई,290,300
हरयाणा (Haryana),MAHENDRAGARH,महेंद्रगढ़:,Kharif     ,खरीफ ,Maize,मक्का,2,0
हरयाणा (Haryana),MEWAT,मेवाती,Whole Year ,पूरे साल ,Sugarcane,गन्ना,849,60000
हरयाणा (Haryana),REWARI,रेवाड़ी,Rabi       ,रबी ,Wheat,गेहूं,45797,208000
हरयाणा (Haryana),GURGAON,गुडगाँव,Rabi       ,रबी ,Masoor,मसूर,1823,800
हरयाणा (Haryana),HISAR,हिसार,Rabi       ,रबी ,Rapeseed &Mustard,रेपसीड और सरसों,61966,102800
हरयाणा (Haryana),अंबाला (AMBALA),अंबाला (अंबाला),Rabi       ,रबी ,Other  Rabi pulses,अन्य रबी दालें,25000,18000
हरयाणा (Haryana),REWARI,रेवाड़ी,Rabi       ,रबी ,Gram,ग्राम,304,0
हरयाणा (Haryana),JHAJJAR,झज्जर,Kharif     ,खरीफ ,Moong(Green Gram),मूंग (हरा चना),2,0
हरयाणा (Haryana),KAITHAL,कैथल,Whole Year ,पूरे साल ,Potato,आलू,348,8900
हरयाणा (Haryana),KAITHAL,कैथल,Kharif     ,खरीफ ,Rice,चावल,160911,402000
हरयाणा (Haryana),PANIPAT,पानीपत,Rabi       ,रबी ,Peas & beans (Pulses),मटर और बीन्स (दालें),235,300
हरयाणा (Haryana),REWARI,रेवाड़ी,Kharif     ,खरीफ ,Bajra,बाजरे,50379,78000
हरयाणा (Haryana),FARIDABAD,फरीदाबाद,Rabi       ,रबी ,Gram,ग्राम,2,
हरयाणा (Haryana),KARNAL,करनाल,Kharif     ,खरीफ ,Cotton(lint),कपास (लिंट),64,
हरयाणा (Haryana),JIND,जींद,Rabi       ,रबी ,Gram,ग्राम,180,
हरयाणा (Haryana),JHAJJAR,झज्जर,Rabi       ,रबी ,Wheat,गेहूं,92614,358000
हरयाणा (Haryana),JIND,जींद,Kharif     ,खरीफ ,Moong(Green Gram),मूंग (हरा चना),51,
हरयाणा (Haryana),JIND,जींद,Kharif     ,खरीफ ,Rice,चावल,104307,222000
हरयाणा (Haryana),ROHTAK,रोहतक,Rabi       ,रबी ,Wheat,गेहूं,91678,352000
हरयाणा (Haryana),HISAR,हिसार,Kharif     ,खरीफ ,Moong(Green Gram),मूंग (हरा चना),1984,600
हरयाणा (Haryana),SIRSA,सिरसा,Whole Year ,पूरे साल ,Sannhamp,सन्नहम्पो,1,
हरयाणा (Haryana),BHIWANI,भिवानी,Kharif     ,खरीफ ,Bajra,बाजरे,222539,153000
हरयाणा (Haryana),YAMUNANAGAR,यमुनानगरी,Rabi       ,रबी ,Barley,जौ,18,
हरयाणा (Haryana),SIRSA,सिरसा,Rabi       ,रबी ,Masoor,मसूर,25,0
हरयाणा (Haryana),FARIDABAD,फरीदाबाद,Kharif     ,खरीफ ,Jowar,ज्वार,19892,3000
हरयाणा (Haryana),KARNAL,करनाल,Rabi       ,रबी ,Peas & beans (Pulses),मटर और बीन्स (दालें),135,200
हरयाणा (Haryana),ROHTAK,रोहतक,Kharif     ,खरीफ ,Cotton(lint),कपास (लिंट),7762,21000
हरयाणा (Haryana),SIRSA,सिरसा,Whole Year ,पूरे साल ,Dry chillies,सूखी मिर्च,101,100
हरयाणा (Haryana),KURUKSHETRA,कुरुक्षेत्र:,Rabi       ,रबी ,Wheat,गेहूं,112004,609000
हरयाणा (Haryana),SIRSA,सिरसा,Kharif     ,खरीफ ,Other Kharif pulses,अन्य खरीफ दालें,2500,1200
हरयाणा (Haryana),MEWAT,मेवाती,Kharif     ,खरीफ ,Sesamum,तिल,434,100
हरयाणा (Haryana),ROHTAK,रोहतक,Rabi       ,रबी ,Barley,जौ,1497,3000
हिमाचल प्रदेश (Himachal Pradesh),KULLU,कुल्लू,Rabi       ,रबी ,Garlic,लहसुन,783,984
हिमाचल प्रदेश (Himachal Pradesh),UNA,ऊना,Kharif     ,खरीफ ,Moong(Green Gram),मूंग (हरा चना),34,16
हिमाचल प्रदेश (Himachal Pradesh),UNA,ऊना,Rabi       ,रबी ,Wheat,गेहूं,30280,46811
हिमाचल प्रदेश (Himachal Pradesh),LAHUL AND SPITI,लाहुल और स्पीति,Kharif     ,खरीफ ,Maize,मक्का,38,87
हिमाचल प्रदेश (Himachal Pradesh),SOLAN,एक प्रकार का हंस,Rabi       ,रबी ,Wheat,गेहूं,23779,42551
हिमाचल प्रदेश (Himachal Pradesh),MANDI,मंडी,Kharif     ,खरीफ ,Rice,चावल,20697,29448
हिमाचल प्रदेश (Himachal Pradesh),UNA,ऊना,Kharif     ,खरीफ ,Horse-gram,चने की दाल,53,14
हिमाचल प्रदेश (Himachal Pradesh),SOLAN,एक प्रकार का हंस,Rabi       ,रबी ,Rapeseed &Mustard,रेपसीड और सरसों,645,296
हिमाचल प्रदेश (Himachal Pradesh),BILASPUR,बिलासपुर,Rabi       ,रबी ,Wheat,गेहूं,28106,67319
हिमाचल प्रदेश (Himachal Pradesh),UNA,ऊना,Whole Year ,पूरे साल ,Onion,प्याज,82,105
हिमाचल प्रदेश (Himachal Pradesh),SIRMAUR,सिरमौर,Rabi       ,रबी ,Coriander,धनिया,62,14
हिमाचल प्रदेश (Himachal Pradesh),MANDI,मंडी,Kharif     ,खरीफ ,Ragi,रागी,1063,981
हिमाचल प्रदेश (Himachal Pradesh),MANDI,मंडी,Kharif     ,खरीफ ,Moong(Green Gram),मूंग (हरा चना),7,3
हिमाचल प्रदेश (Himachal Pradesh),UNA,ऊना,Kharif     ,खरीफ ,Sannhamp,सन्नहम्पो,59,11
हिमाचल प्रदेश (Himachal Pradesh),SHIMLA,शिमला,Rabi       ,रबी ,Gram,ग्राम,33,27
हिमाचल प्रदेश (Himachal Pradesh),SOLAN,एक प्रकार का हंस,Rabi       ,रबी ,Gram,ग्राम,34,4
हिमाचल प्रदेश (Himachal Pradesh),LAHUL AND SPITI,लाहुल और स्पीति,Kharif     ,खरीफ ,Peas & beans (Pulses),मटर और बीन्स (दालें),1415,7829
हिमाचल प्रदेश (Himachal Pradesh),KANGRA,कांगड़ा,Kharif     ,खरीफ ,Urad,उड़द,2818,1468
हिमाचल प्रदेश (Himachal Pradesh),BILASPUR,बिलासपुर,Rabi       ,रबी ,Rapeseed &Mustard,रेपसीड और सरसों,421,466
हिमाचल प्रदेश (Himachal Pradesh),SOLAN,एक प्रकार का हंस,Kharif     ,खरीफ ,Horse-gram,चने की दाल,311,47
हिमाचल प्रदेश (Himachal Pradesh),KULLU,कुल्लू,Rabi       ,रबी ,Peas & beans (Pulses),मटर और बीन्स (दालें),275,344
हिमाचल प्रदेश (Himachal Pradesh),KINNAUR,किन्नौर,Rabi       ,रबी ,Masoor,मसूर,1,1
हिमाचल प्रदेश (Himachal Pradesh),KANGRA,कांगड़ा,Kharif     ,खरीफ ,Dry chillies,सूखी मिर्च,17,6
हिमाचल प्रदेश (Himachal Pradesh),SIRMAUR,सिरमौर,Whole Year ,पूरे साल ,Dry chillies,सूखी मिर्च,379,86
हिमाचल प्रदेश (Himachal Pradesh),SOLAN,एक प्रकार का हंस,Kharif     ,खरीफ ,Moth,कीट,1,
जम्मू और कश्मीर (Jammu and Kashmir ),PULWAMA,पुलवामा,Kharif     ,खरीफ ,Urad,उड़द,423,226
जम्मू और कश्मीर (Jammu and Kashmir ),UDHAMPUR,उधमपुर,Kharif     ,खरीफ ,Urad,उड़द,2121,1080
जम्मू और कश्मीर (Jammu and Kashmir ),KATHUA,कठुआ,Kharif     ,खरीफ ,Dry chillies,सूखी मिर्च,44,21.3
जम्मू और कश्मीर (Jammu and Kashmir ),DODA,डोडा,Kharif     ,खरीफ ,Barley,जौ,34,9
जम्मू और कश्मीर (Jammu and Kashmir ),RAJAURI,राजौरी,Rabi       ,रबी ,Rapeseed &Mustard,रेपसीड और सरसों,1932,1347.7
जम्मू और कश्मीर (Jammu and Kashmir ),ANANTNAG,अनंतनाग,Kharif     ,खरीफ ,Moong(Green Gram),मूंग (हरा चना),999,515
जम्मू और कश्मीर (Jammu and Kashmir ),KATHUA,कठुआ,Rabi       ,रबी ,Linseed,अलसी का बीज,69,25
जम्मू और कश्मीर (Jammu and Kashmir ),PULWAMA,पुलवामा,Kharif     ,खरीफ ,Cond-spcs other,Cond-spcs अन्य,117,21
झारखंड (Jammu and Kashmir ),BOKARO,बोकारो,Winter     ,सर्दी ,Rice,चावल,305.95,226
झारखंड (Jammu and Kashmir ),GODDA,गोड्डा,Autumn     ,पतझड़ ,Maize,मक्का,4701.54,5655.95
झारखंड (Jammu and Kashmir ),WEST SINGHBHUM,पश्चिम सिंहभूम,Autumn     ,पतझड़ ,Ragi,रागी,656.79,520
झारखंड (Jammu and Kashmir ),SAHEBGANJ,साहेबगंज,Winter     ,सर्दी ,Rice,चावल,30849.59,36978.37
झारखंड (Jammu and Kashmir ),KODERMA,कोडरमा,Rabi       ,रबी ,Potato,आलू,459.09,3909
झारखंड (Jammu and Kashmir ),DUMKA,दुमका,Rabi       ,रबी ,Potato,आलू,1163.35,6158.77
झारखंड (Jammu and Kashmir ),KODERMA,कोडरमा,Winter     ,सर्दी ,Rice,चावल,9461.03,4919.33
झारखंड (Jammu and Kashmir ),KODERMA,कोडरमा,Rabi       ,रबी ,Potato,आलू,264.67,2215.29
झारखंड (Jammu and Kashmir ),GUMLA,गुमला,Winter     ,सर्दी ,Rice,चावल,71928.46,37786.42
झारखंड (Jammu and Kashmir ),PALAMU,पलामू,Rabi       ,रबी ,Rapeseed &Mustard,रेपसीड और सरसों,1922.06,1357
झारखंड (Jammu and Kashmir ),GODDA,गोड्डा,Rabi       ,रबी ,Masoor,मसूर,823.89,533
झारखंड (Jammu and Kashmir ),HAZARIBAGH,हजारीबाग,Rabi       ,रबी ,Wheat,गेहूं,2176,4019
झारखंड (Jammu and Kashmir ),DUMKA,दुमका,Winter     ,सर्दी ,Rice,चावल,56210.7,71950
कर्नाटक (Karnataka),CHIKMAGALUR,चिकमंगलूर,Kharif     ,खरीफ ,Dry chillies,सूखी मिर्च,2702,1389
कर्नाटक (Karnataka),TUMKUR,तुमकुर,Rabi       ,रबी ,Rice,चावल,909,1963
कर्नाटक (Karnataka),RAMANAGARA,रामनगर:,Kharif     ,खरीफ ,Niger seed,नाइजर बीज,916,249
कर्नाटक (Karnataka),HASSAN,हसन,Kharif     ,खरीफ ,Other Kharif pulses,अन्य खरीफ दालें,11141,5589
कर्नाटक (Karnataka),BENGALURU URBAN,बेंगलुरू अर्बन,Whole Year ,पूरे साल ,Banana,केला,408,13127
कर्नाटक (Karnataka),MYSORE,मैसूर,Kharif     ,खरीफ ,Potato,आलू,116,718
कर्नाटक (Karnataka),KODAGU,कोडागू,Whole Year ,पूरे साल ,Dry chillies,सूखी मिर्च,260,1078
कर्नाटक (Karnataka),DAVANGERE,दावणगेरे,Kharif     ,खरीफ ,Dry chillies,सूखी मिर्च,1289,1707
कर्नाटक (Karnataka),KOLAR,कोलार,Rabi       ,रबी ,Cowpea(Lobia),लोबिया (लोबिया),19,7
कर्नाटक (Karnataka),DAVANGERE,दावणगेरे,Kharif     ,खरीफ ,Urad,उड़द,18,5
कर्नाटक (Karnataka),HAVERI,हावेरी,Whole Year ,पूरे साल ,Sugarcane,गन्ना,7338,871388
कर्नाटक (Karnataka),MANDYA,मंड्या,Rabi       ,रबी ,Rice,चावल,828,2628
कर्नाटक (Karnataka),MANDYA,मंड्या,Summer     ,ग्रीष्म ऋतु ,Rice,चावल,2797,7201
कर्नाटक (Karnataka),KOPPAL,कोप्पल,Rabi       ,रबी ,Maize,मक्का,617,1520
कर्नाटक (Karnataka),SHIMOGA,शिमोगा,Rabi       ,रबी ,Linseed,अलसी का बीज,6,2
कर्नाटक (Karnataka),KOLAR,कोलार,Rabi       ,रबी ,Ragi,रागी,74,108
कर्नाटक (Karnataka),UDUPI,उडुपी,Rabi       ,रबी ,Groundnut,मूंगफली,1998,3138
कर्नाटक (Karnataka),CHIKBALLAPUR,चिकबल्लपुर,Whole Year ,पूरे साल ,Sweet potato,शकरकंद,9,153
कर्नाटक (Karnataka),MYSORE,मैसूर,Summer     ,ग्रीष्म ऋतु ,Rice,चावल,13655,40058
कर्नाटक (Karnataka),BELLARY,बेल्लारी,Rabi       ,रबी ,Rice,चावल,490,1871
कर्नाटक (Karnataka),BIDAR,बीदरी,Kharif     ,खरीफ ,Cotton(lint),कपास (लिंट),3616,3439
कर्नाटक (Karnataka),BANGALORE RURAL,बंगलौर ग्रामीण,Kharif     ,खरीफ ,Rice,चावल,685,2197
कर्नाटक (Karnataka),RAMANAGARA,रामनगर:,Kharif     ,खरीफ ,Bajra,बाजरे,68,80
कर्नाटक (Karnataka),BANGALORE RURAL,बंगलौर ग्रामीण,Whole Year ,पूरे साल ,Coriander,धनिया,37,13
कर्नाटक (Karnataka),HASSAN,हसन,Rabi       ,रबी ,Urad,उड़द,139,73
कर्नाटक (Karnataka),KOLAR,कोलार,Summer     ,ग्रीष्म ऋतु ,Sunflower,सूरजमुखी,5,4
कर्नाटक (Karnataka),MYSORE,मैसूर,Whole Year ,पूरे साल ,Potato,आलू,50,257
कर्नाटक (Karnataka),MANDYA,मंड्या,Kharif     ,खरीफ ,Ragi,रागी,41362,80042
कर्नाटक (Karnataka),DAKSHIN KANNAD,दक्षिण कन्नड़,Whole Year ,पूरे साल ,Sweet potato,शकरकंद,202,1665
कर्नाटक (Karnataka),MANDYA,मंड्या,Whole Year ,पूरे साल ,Turmeric,हल्दी,72,453
कर्नाटक (Karnataka),MYSORE,मैसूर,Kharif     ,खरीफ ,Jowar,ज्वार,39698,35995
कर्नाटक (Karnataka),SHIMOGA,शिमोगा,Kharif     ,खरीफ ,Castor seed,अरंडी बीज,6,4
कर्नाटक (Karnataka),CHITRADURGA,चित्रदुर्ग,Rabi       ,रबी ,Other  Rabi pulses,अन्य रबी दालें,99,12
कर्नाटक (Karnataka),KODAGU,कोडागू,Kharif     ,खरीफ ,Peas & beans (Pulses),मटर और बीन्स (दालें),42,257
कर्नाटक (Karnataka),CHIKMAGALUR,चिकमंगलूर,Kharif     ,खरीफ ,Arhar/Tur,अरहर / तुरई,930,217
कर्नाटक (Karnataka),CHIKMAGALUR,चिकमंगलूर,Whole Year ,पूरे साल ,Turmeric,हल्दी,30,143
कर्नाटक (Karnataka),CHAMARAJANAGAR,चामराजनगरी,Kharif     ,खरीफ ,Peas & beans (Pulses),मटर और बीन्स (दालें),624,5628
कर्नाटक (Karnataka),UTTAR KANNAD,उत्तर कन्नड़,Rabi       ,रबी ,Groundnut,मूंगफली,2200,3994
कर्नाटक (Karnataka),KOLAR,कोलार,Kharif     ,खरीफ ,Sesamum,तिल,15,6
कर्नाटक (Karnataka),CHIKMAGALUR,चिकमंगलूर,Kharif     ,खरीफ ,Sesamum,तिल,3781,1397
कर्नाटक (Karnataka),BAGALKOT,बागलकोट,Whole Year ,पूरे साल ,Sannhamp,सन्नहम्पो,35,9
कर्नाटक (Karnataka),TUMKUR,तुमकुर,Kharif     ,खरीफ ,Niger seed,नाइजर बीज,1690,490
कर्नाटक (Karnataka),CHITRADURGA,चित्रदुर्ग,Kharif     ,खरीफ ,Ragi,रागी,67022,124206
कर्नाटक (Karnataka),SHIMOGA,शिमोगा,Whole Year ,पूरे साल ,Tobacco,तंबाकू,48,52
कर्नाटक (Karnataka),RAMANAGARA,रामनगर:,Whole Year ,पूरे साल ,Arecanut,सुपारी,1274,14190
कर्नाटक (Karnataka),MANDYA,मंड्या,Whole Year ,पूरे साल ,Turmeric,हल्दी,94,407
कर्नाटक (Karnataka),BAGALKOT,बागलकोट,Rabi       ,रबी ,Dry chillies,सूखी मिर्च,610,1075
कर्नाटक (Karnataka),MANDYA,मंड्या,Whole Year ,पूरे साल ,Tapioca,टैपिओका,2,17
कर्नाटक (Karnataka),KOLAR,कोलार,Kharif     ,खरीफ ,Sunflower,सूरजमुखी,605,353
कर्नाटक (Karnataka),BELLARY,बेल्लारी,Kharif     ,खरीफ ,Arhar/Tur,अरहर / तुरई,5944,2451
कर्नाटक (Karnataka),DAVANGERE,दावणगेरे,Summer     ,ग्रीष्म ऋतु ,Jowar,ज्वार,420,334
कर्नाटक (Karnataka),TUMKUR,तुमकुर,Kharif     ,खरीफ ,Small millets,छोटे बाजरा,2668,960
कर्नाटक (Karnataka),BELLARY,बेल्लारी,Summer     ,ग्रीष्म ऋतु ,Jowar,ज्वार,876,2497
कर्नाटक (Karnataka),DHARWAD,धारवाड़,Summer     ,ग्रीष्म ऋतु ,Dry chillies,सूखी मिर्च,182,325
कर्नाटक (Karnataka),DAVANGERE,दावणगेरे,Rabi       ,रबी ,Safflower,कुसुम,268,113
कर्नाटक (Karnataka),BIDAR,बीदरी,Kharif     ,खरीफ ,Bajra,बाजरे,5110,5772
कर्नाटक (Karnataka),TUMKUR,तुमकुर,Kharif     ,खरीफ ,Cotton(lint),कपास (लिंट),786,1186
कर्नाटक (Karnataka),BANGALORE RURAL,बंगलौर ग्रामीण,Kharif     ,खरीफ ,Urad,उड़द,296,96
कर्नाटक (Karnataka),CHIKMAGALUR,चिकमंगलूर,Kharif     ,खरीफ ,Groundnut,मूंगफली,4341,3122
कर्नाटक (Karnataka),CHITRADURGA,चित्रदुर्ग,Kharif     ,खरीफ ,Small millets,छोटे बाजरा,8223,3232
कर्नाटक (Karnataka),BELGAUM,बेलगाम,Kharif     ,खरीफ ,Maize,मक्का,77884,224182
कर्नाटक (Karnataka),CHAMARAJANAGAR,चामराजनगरी,Whole Year ,पूरे साल ,Coconut ,नारियल ,7047,25095
कर्नाटक (Karnataka),BANGALORE RURAL,बंगलौर ग्रामीण,Summer     ,ग्रीष्म ऋतु ,Potato,आलू,156,3401
कर्नाटक (Karnataka),DAVANGERE,दावणगेरे,Rabi       ,रबी ,Ragi,रागी,20,28
कर्नाटक (Karnataka),GADAG,गदग,Kharif     ,खरीफ ,Horse-gram,चने की दाल,326,102
कर्नाटक (Karnataka),KODAGU,कोडागू,Kharif     ,खरीफ ,Ragi,रागी,12,10
कर्नाटक (Karnataka),BENGALURU URBAN,बेंगलुरू अर्बन,Summer     ,ग्रीष्म ऋतु ,Ragi,रागी,179,274
कर्नाटक (Karnataka),CHIKBALLAPUR,चिकबल्लपुर,Kharif     ,खरीफ ,Ragi,रागी,46858,69310
कर्नाटक (Karnataka),UTTAR KANNAD,उत्तर कन्नड़,Whole Year ,पूरे साल ,Onion,प्याज,85,886
कर्नाटक (Karnataka),RAICHUR,रायचुर,Rabi       ,रबी ,Groundnut,मूंगफली,30330,21869
कर्नाटक (Karnataka),BELGAUM,बेलगाम,Rabi       ,रबी ,Onion,प्याज,1107,2431
कर्नाटक (Karnataka),BAGALKOT,बागलकोट,Kharif     ,खरीफ ,Jowar,ज्वार,12363,24855
कर्नाटक (Karnataka),BIDAR,बीदरी,Whole Year ,पूरे साल ,Coconut ,नारियल ,24,1158.96
कर्नाटक (Karnataka),BAGALKOT,बागलकोट,Kharif     ,खरीफ ,Mesta,मेस्टा,5,10
कर्नाटक (Karnataka),BENGALURU URBAN,बेंगलुरू अर्बन,Rabi       ,रबी ,Other  Rabi pulses,अन्य रबी दालें,79,34
कर्नाटक (Karnataka),BELLARY,बेल्लारी,Kharif     ,खरीफ ,Other Kharif pulses,अन्य खरीफ दालें,692,305
कर्नाटक (Karnataka),BANGALORE RURAL,बंगलौर ग्रामीण,Kharif     ,खरीफ ,Sesamum,तिल,2668,986
कर्नाटक (Karnataka),GULBARGA,गुलबर्गा,Kharif     ,खरीफ ,Dry ginger,सोंठ,4,52
कर्नाटक (Karnataka),TUMKUR,तुमकुर,Rabi       ,रबी ,Maize,मक्का,413,1258
कर्नाटक (Karnataka),CHITRADURGA,चित्रदुर्ग,Kharif     ,खरीफ ,Potato,आलू,2,4
कर्नाटक (Karnataka),DAVANGERE,दावणगेरे,Kharif     ,खरीफ ,Niger seed,नाइजर बीज,878,258
कर्नाटक (Karnataka),BELGAUM,बेलगाम,Whole Year ,पूरे साल ,Sugarcane,गन्ना,174706,17924836
कर्नाटक (Karnataka),DHARWAD,धारवाड़,Kharif     ,खरीफ ,Other Kharif pulses,अन्य खरीफ दालें,50,54
कर्नाटक (Karnataka),GADAG,गदग,Kharif     ,खरीफ ,Arhar/Tur,अरहर / तुरई,2509,434
कर्नाटक (Karnataka),UTTAR KANNAD,उत्तर कन्नड़,Rabi       ,रबी ,Ragi,रागी,7,13
कर्नाटक (Karnataka),HAVERI,हावेरी,Kharif     ,खरीफ ,Horse-gram,चने की दाल,72,38
कर्नाटक (Karnataka),DHARWAD,धारवाड़,Rabi       ,रबी ,Maize,मक्का,2128,6436
कर्नाटक (Karnataka),BAGALKOT,बागलकोट,Rabi       ,रबी ,Sunflower,सूरजमुखी,32687,17669
कर्नाटक (Karnataka),SHIMOGA,शिमोगा,Kharif     ,खरीफ ,Ragi,रागी,2621,4692
कर्नाटक (Karnataka),CHIKMAGALUR,चिकमंगलूर,Kharif     ,खरीफ ,Groundnut,मूंगफली,3522,3329
कर्नाटक (Karnataka),CHITRADURGA,चित्रदुर्ग,Summer     ,ग्रीष्म ऋतु ,Ragi,रागी,989,1894
कर्नाटक (Karnataka),CHAMARAJANAGAR,चामराजनगरी,Rabi       ,रबी ,Onion,प्याज,594,4268
कर्नाटक (Karnataka),HAVERI,हावेरी,Kharif     ,खरीफ ,Soyabean,सोया बीन,5006,5873
कर्नाटक (Karnataka),KODAGU,कोडागू,Kharif     ,खरीफ ,Rice,चावल,31281,77621
कर्नाटक (Karnataka),RAMANAGARA,रामनगर:,Whole Year ,पूरे साल ,Turmeric,हल्दी,21,100
कर्नाटक (Karnataka),KOLAR,कोलार,Kharif     ,खरीफ ,Ragi,रागी,120681,176361
कर्नाटक (Karnataka),KOLAR,कोलार,Whole Year ,पूरे साल ,Banana,केला,1366,42123
कर्नाटक (Karnataka),UTTAR KANNAD,उत्तर कन्नड़,Kharif     ,खरीफ ,Horse-gram,चने की दाल,187,83
कर्नाटक (Karnataka),GULBARGA,गुलबर्गा,Rabi       ,रबी ,Rice,चावल,5122,7980
कर्नाटक (Karnataka),RAICHUR,रायचुर,Summer     ,ग्रीष्म ऋतु ,Onion,प्याज,251,2670
कर्नाटक (Karnataka),DAVANGERE,दावणगेरे,Whole Year ,पूरे साल ,Cardamom,इलायची,1,
कर्नाटक (Karnataka),BIDAR,बीदरी,Whole Year ,पूरे साल ,Sugarcane,गन्ना,25686,1805726
कर्नाटक (Karnataka),DHARWAD,धारवाड़,Whole Year ,पूरे साल ,Black pepper,काली मिर्च,9,38
कर्नाटक (Karnataka),BIDAR,बीदरी,Kharif     ,खरीफ ,Cowpea(Lobia),लोबिया (लोबिया),19,10
कर्नाटक (Karnataka),SHIMOGA,शिमोगा,Rabi       ,रबी ,Other  Rabi pulses,अन्य रबी दालें,762,93
कर्नाटक (Karnataka),CHITRADURGA,चित्रदुर्ग,Whole Year ,पूरे साल ,Dry chillies,सूखी मिर्च,2250,3580
कर्नाटक (Karnataka),HAVERI,हावेरी,Summer     ,ग्रीष्म ऋतु ,Groundnut,मूंगफली,1693,1723
कर्नाटक (Karnataka),BELGAUM,बेलगाम,Rabi       ,रबी ,Rapeseed &Mustard,रेपसीड और सरसों,254,35
